id,symbol,name,slug,is_active
1027,ETH,Ethereum,ethereum,1
37402,ETH,Shrek2HulkSimbaAnusHannahMontanInu,shrek2hulksimbaanushannahmontaninu,1
39555,ETH,Bridged ETH (NEAR Intents),bridged-eth-near-intents,1
29991,ETH,The Infinite Garden,the-infinite-garden,0
33661,ETH,THE TICKER IS,the-ticker-is,0
37697,ETH,VitalikTrumpXiMuskPepeShrekMarioPacRoseETH9999Inu,vitaliktrumpximuskpepeshrekmariopacroseeth9999inu,0
28846,AI,Sleepless AI,sleepless-ai,1
28916,AI,Any Inu,any-inu,1
28902,AI,AI PIN,ai-pin,1
14838,AI,Artificial Intelligence,artificial-intelligence,1
23955,AI,Chat AI,chat-ai,1
27344,AI,AIDOGE,aidoge,1
28847,AI,AI,ai,1
2224,AI,POLY AI,poly-ai,0
10712,AI,Flourishing AI,flourishing-ai,0
11061,AI,Multiverse,multiverse,0
24013,AI,GPT AI,gpt-ai,0
25124,AI,AICoin,aicoin,0
26900,AI,Alien Invasion,alien-invasion,0
26906,AI,Chatgod.ai,chatgod-ai,0
27776,AI,Ai.com,ai-com,0
36155,AI,AI Protocol,ai-protocol,0
37509,AI,Artificial Inu,artificial-inu,0
1376,NEO,Neo,neo,1
38861,NEO,NEO,neo1x,1
