message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,had_unresolved_profit_signal,linked_update_ids
87,2021-11-13T19:02:36,DASH,USDT,long,"[227.0, 224.0]",225.5,216.0,"[231.0, 235.0, 240.0, 245.0, 256.0, 264.0, 272.0, 280.0]","COIN NAME: #DASH/USDT

LONG SET-UP

#DASH Forming a Symmetrical Traingle in 1hr time frame and already broke that and looking bullish. So buy a bag of #DASH in our buy zone and hold it for good profit.

Entry: 227 - 224$(Buy partially)

Target: 231 - 235 - 240 - 245 - 256 - 264 - 272 - 280$(Shot term)

Stoploss: 216$(If daily candle closes below there)",0.013303769401330377,0.04212860310421286,8,0.5789473684210527,1.0,1.5263157894736843,2.0526315789473686,3.210526315789474,4.052631578947368,4.894736842105263,5.7368421052631575,,,,,,,2,True,False,True,False,True,"[88, 89, 90]"
105,2021-11-20T13:38:51,ONE,USDT,long,"[0.286, 0.275]",0.28049999999999997,0.25,"[0.29, 0.293, 0.298, 0.304, 0.315, 0.33, 0.35, 0.365]","COIN NAME: #ONE/USDT

LONG SET-UP

#ONE Forming a Falling wedge pattern in 1hr time frame and already broke that and looking bullish. So buy a bag of #ONE in our buy zone and hold it for good profit.


Entry: 0.286 - 0.275$(Buy partially)

Target: 0.29 - 0.293 - 0.298 - 0.304 - 0.315 - 0.33 - 0.35 - 0.365$(short - mid term)

Stop loss: 0.25$",0.039215686274509644,0.10873440285204983,8,0.31147540983606614,0.4098360655737712,0.5737704918032798,0.7704918032786899,1.1311475409836087,1.622950819672134,2.2786885245901662,2.770491803278692,,,,,,,8,True,True,False,False,True,"[106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 122, 123, 124, 125, 126, 127, 128, 130, 131, 132, 134, 135, 136, 137, 138, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 177, 178, 179, 180, 182, 183, 184, 185, 189, 191, 192, 193, 194, 195, 196, 197, 201, 202, 204, 207, 209, 211, 212, 214, 216, 217, 218, 219, 220, 221, 224, 225]"
113,2021-11-22T18:20:17,ATOM,USDT,long,"[32.9, 32.0]",32.45,30.0,"[33.3, 33.8, 34.5, 35.5, 37.0, 38.5, 40.0, 43.0]","COIN NAME: #ATOM/USDT

LONG SET-UP

#ATOM Forming a downtrend channel and already broke that and looking bullish from here. So buy a bag of #ATOM in our buy zone and hold it for good profit.

Entry: 32.9 - 32.0$

Target: 33.3 - 33.8 - 34.5 - 35.5 - 37.0 - 38.5 - 40.0 - 43.0$(Short-mid term)

Stoploss: 30.0$",0.027734976887519216,0.07550077041602474,8,0.34693877551020136,0.5510204081632624,0.8367346938775488,1.2448979591836709,1.8571428571428539,2.4693877551020367,3.0816326530612197,4.306122448979585,,,,,,,8,True,True,False,False,True,"[114, 115, 160, 161, 165, 170, 171, 183, 191, 192, 193, 194, 195, 197]"
146,2021-12-15T05:57:47,BNB,USDT,long,"[529.0, 490.0]",509.5,450.0,"[535.0, 540.0, 551.0, 563.0, 579.0, 597.0, 620.0, 640.0, 680.0, 700.0]","COIN NAME: #BNB/USDT

LONG SET-UP

LAVERAGE: 5-10X

#BNB exactly bounced back from its support zone and looking bullish. So buy a bag of #BNB in our buy zone and hold it for good profit.

ENTRY: 529 - 490$(Buy partially)

TARGET: 535 - 540 - 551 - 563 - 579 - 597(Short-Mid term)

Long term: 620 - 640 - 680 - 700$

STOPLOSS: 450$

Note: Don't wait for all Targets. Book Profit partially and after some target move your Stop loss near buy zone or in Profit zone. BTC is looking unstable so use low Laverage and small amount of your capital.",0.07654563297350343,0.11678115799803729,10,0.42857142857142855,0.5126050420168067,0.6974789915966386,0.8991596638655462,1.1680672268907564,1.4705882352941178,1.8571428571428572,2.19327731092437,2.865546218487395,3.2016806722689077,,,,,3,True,False,True,False,True,"[149, 152, 154, 178, 189]"
160,2021-12-19T05:02:17,ATOM,USDT,long,"[23.2, 22.0]",22.6,20.6,"[23.6, 24.0, 24.5, 25.0, 26.0, 27.0, 28.5, 30.0]","COIN NAME: #ATOM/USDT

LONG SET-UP

LAVERAGE: 5-10x

#ATOM is forming a Falling Wedge pattern in 4hr time and already broke that and looking bullish. So buy a bag of #ATOM in our buy zone and hold it for good profit.

Entry: 23.2 - 22.0$(Buy partially)

Target: 23.6 - 24.0 - 24.5 - 25.0 - 26.0 - 27.0 - 28.5 - 30.0$(Short- mid term)

Stoploss: 20.6$",0.05309734513274333,0.08849557522123894,8,0.5,0.6999999999999993,0.9499999999999993,1.1999999999999993,1.6999999999999993,2.1999999999999993,2.9499999999999993,3.6999999999999993,,,,,,,8,True,True,False,False,True,"[161, 165, 170, 171, 183, 191, 192, 193, 194, 195, 197]"
191,2022-01-01T12:10:22,ATOM,USDT,long,"[33.5, 31.0]",32.25,28.0,"[34.0, 34.5, 35.0, 36.0, 37.0, 38.0, 40.0, 43.0]","COIN NAME: #ATOM/USDT

LONG SET-UP

LAVERAGE: 5-10X

#ATOM/USDT broke a inverse Head and shoulder pattern in 4hr time frame and looking bullish. So buy a bag of #ATOM in our buy zone and hold it for good profit.

ENTRY: 33.5 - 31.00$(Buy partially)

TARGET: 34 - 34.5 - 35 - 36 - 37 - 38 - 40 - 43$(Short-Mid term)


STOPLOSS: 28$",0.07751937984496124,0.13178294573643412,8,0.4117647058823529,0.5294117647058824,0.6470588235294118,0.8823529411764706,1.1176470588235294,1.3529411764705883,1.8235294117647058,2.5294117647058822,,,,,,,8,True,True,False,False,True,"[192, 193, 194, 195, 197]"
370,2022-03-17T07:36:21,SXP,USDT,long,"[1.35, 1.25]",1.3,1.2,"[1.38, 1.4, 1.42, 1.44, 1.48, 1.54, 1.62, 1.74, 1.9, 2.2]","COIN NAME: #SXP/USDT

LONG SET-UP

LAVERAGE: 5-10X

Entry: 1.35 - 1.25$(Buy partially)

Target: 1.38 - 1.40 - 1.42 - 1.44 - 1.48 - 1.54 - 1.62 - 1.74 - 1.90 - 2.20$(Short-mid term)

Stoploss: 1.20$",0.07692307692307698,0.07692307692307698,10,0.7999999999999978,0.9999999999999978,1.1999999999999977,1.3999999999999977,1.7999999999999978,2.3999999999999977,3.199999999999998,4.399999999999996,5.999999999999994,8.999999999999993,,,,,8,True,False,True,False,True,"[371, 374, 380, 395, 428]"
377,2022-03-19T11:48:40,ETC,USDT,long,"[29.4, 27.0]",28.2,25.0,"[30.0, 30.5, 31.0, 31.5, 33.0, 35.0, 37.0, 40.0, 43.0]","COIN NAME: #ETC/USDT

LONG SET-UP

LAVERAGE: 5-10X

Entry: 29.4 - 27.0$(Buy partially)

Target: 30.0 - 30.5 - 31.0 - 31.5 - 33.0 - 35.0 - 37.0 - 40.0 - 43.0$(Short-mid term)

Stoploss: 25.0$",0.08510638297872336,0.11347517730496452,9,0.5625000000000003,0.7187500000000003,0.8750000000000004,1.0312500000000004,1.5000000000000007,2.125000000000001,2.750000000000001,3.687500000000001,4.625000000000001,,,,,,9,True,True,False,False,True,"[378, 379, 383, 384, 392]"
413,2022-03-27T12:32:13,EOS,USDT,long,"[2.56, 2.28]",2.42,2.0,"[2.6, 2.64, 2.68, 2.72, 2.85, 3.0, 3.15, 3.3, 3.6, 4.0]","COIN NAME: #EOS/USDT

LONG SET-UP

LAVERAGE: 5-10X

#EOS Already Breaked the falling wedge pattern and now breaking the Bull flag also and that's indicate bullish sign. So buy some #EOS in our buy zone and hold it for good profit.

Entry: 2.56 - 2.28(Buy partially)

Target: 2.6 - 2.64 - 2.68 - 2.72 - 2.85 - 3.0 - 3.15 - 3.30 - 3.60 - 4.0$(Short-mid term)

Stop loss: 2.00$",0.11570247933884308,0.17355371900826444,10,0.42857142857142905,0.5238095238095244,0.6190476190476197,0.7142857142857151,1.0238095238095244,1.3809523809523814,1.7380952380952384,2.0952380952380953,2.80952380952381,3.7619047619047628,,,,,1,True,False,True,False,True,"[414, 420]"
449,2022-03-30T10:38:32,LINK,USDT,long,"[17.3, 15.5]",16.4,14.0,"[17.6, 17.8, 18.1, 18.3, 19.0, 19.8, 20.6, 21.6, 24.0, 27.0, 29.0, 32.0]","COIN NAME: #LINK/USDT

LONG SET-UP

LAVERAGE: 5-10X 

Entry: 17.3 - 15.5$(Buy partially)

Target: 17.6 - 17.8 - 18.1 - 18.3 - 19.0 - 19.8 - 20.6 - 21.6$(Short-mid term)

Long term: 24 - 27 - 29 - 32$

Stoploss: 14.0$",0.10975609756097567,0.14634146341463408,12,0.5000000000000014,0.5833333333333346,0.7083333333333349,0.7916666666666681,1.0833333333333346,1.4166666666666683,1.7500000000000022,2.166666666666669,3.166666666666669,4.41666666666667,5.2500000000000036,6.500000000000004,,,3,True,False,True,False,True,"[451, 452, 476, 494, 498, 502]"
