message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R
15,2021-09-12T19:32:15,OCEAN,USDT,long,"[0.84, 0.77]",0.8049999999999999,0.7,"[0.88, 0.93, 0.99, 1.17, 1.51]","OCEAN/USDT(Long entry)

Entry: 0.84 - 0.77$

Target: 0.88 - 0.93 - 0.99 - 1.17 - 1.51$(Mid - Long term)

Stop loss: 0.70$",0.08695652173913038,0.13043478260869565,5,0.7142857142857151,1.1904761904761918,1.7619047619047628,3.4761904761904767,6.714285714285716,,,,,,,,,
56,2021-10-24T21:25:14,AVAX,USDT,long,"[63.2, 58.0]",60.6,53.0,"[64.0, 65.0, 66.4, 68.0, 71.0, 75.0, 79.0, 82.0]","#AVAX/USDT

LONG SET-UP

#AVAX is already broke the Falling wedge pattern and now looking bullish from here or it may Retest the upper side of pattern and a bounce back may seen from there. So buy it in our buy zone and hold it for good profit.

Entry: 63.2 - 58.0$(Enter partially)

Target: 64.0 - 65.0 - 66.4 - 68.0 - 71.0 - 75.0 - 79.0 - 82.0$(mid - long term)

Stoploss: 53$",0.08580858085808585,0.12541254125412543,8,0.4473684210526313,0.5789473684210523,0.7631578947368425,0.9736842105263154,1.3684210526315785,1.8947368421052626,2.421052631578947,2.8157894736842097,,,,,,
58,2021-10-25T21:52:16,VET,USDT,long,"[0.14, 0.13]",0.135,0.12,"[0.143, 0.146, 0.149, 0.156, 0.165, 0.18, 0.2, 0.22, 0.233, 0.254]","Coin Name: VET/USDT

LONG SET-UP

#VET Already broke the trend line and ready to fly. So buy a bag of #VET in our buy zone and hold it for good profit.

Entry: 0.140 - 0.130$ ( Buy partially)

Target: 0.143 - 0.146 - 0.149 - 0.156 - 0.165 - 0.18 - 0.2 - 0.22 - 0.233 - 0.254$( Mid - Long term)

Stoploss: 0.120$",0.07407407407407414,0.1111111111111112,10,0.5333333333333314,0.7333333333333315,0.9333333333333315,1.3999999999999981,1.9999999999999982,2.9999999999999964,4.3333333333333295,5.666666666666661,6.533333333333328,7.933333333333326,,,,
59,2021-10-25T22:17:36,KSM,USDT,long,"[397.0, 372.0]",384.5,355.0,"[406.0, 414.0, 422.0, 430.0, 452.0, 470.0, 490.0, 540.0, 580.0, 600.0]","Coin Name: #KSM/USDT

LONG SET-UP

#KSM is forming a Cup and handle pattern in daily time frame and already broke the neck line of the pattern. So it looks bullish in coming days. Buy a bag of #KSM in our buy zone and hold it for good profit. 

Entry: 397 - 372$ (Buy partially)

Target: 406 - 414 - 422 - 430 - 452 - 470 - 490 - 540 - 580 - 600$+ (Mid - long term)

Stoploss: 355$",0.06501950585175553,0.07672301690507152,10,0.7288135593220338,1.0,1.271186440677966,1.5423728813559323,2.288135593220339,2.8983050847457625,3.5762711864406778,5.271186440677966,6.627118644067797,7.305084745762712,,,,
62,2021-10-26T18:26:45,HBAR,USDT,long,"[0.413, 0.4]",0.4065,0.37,"[0.42, 0.424, 0.434, 0.44, 0.45, 0.46, 0.475, 0.49]","COIN NAME: #HBAR/USDT

LONG SET-UP

#HBAR already broke the symmetrical Traingle and looking bullish from here. So buy a bag of #HBAR in our buy zone and hold it for good profit.

Entry: 0.413 - 0.400$

Target: 0.420 - 0.424 - 0.434 - 0.440 - 0.450 - 0.460 - 0.475 - 0.490$(Short-mid term)

Stoploss: 0.370$",0.031980319803197925,0.08979089790897904,8,0.3698630136986307,0.4794520547945213,0.7534246575342477,0.9178082191780836,1.19178082191781,1.4657534246575366,1.8767123287671246,2.2876712328767144,,,,,,
63,2021-10-26T22:24:01,XRP,USDT,long,"[1.125, 1.1, 1.08]",1.1016666666666668,1.03,"[1.135, 1.15, 1.165, 1.18, 1.21, 1.24, 1.28]","Coin Name: #XRP/USDT

LONG SET-UP

#XRP Just breaking the Falling wedge pattern on 4hr time frame. It looking bullish and MACD also looking good. So buy it and hold it for good profit.

Entry: 1.125 - 1.100 - 1.080$(Enter partially)

Target: 1.135 - 1.150 - 1.165 - 1.180 - 1.210 - 1.240 - 1.280$(Short term)

Stoploss: 1.030$",0.04084720121028738,0.06505295007564305,7,0.46511627906976516,0.6744186046511589,0.8837209302325556,1.0930232558139492,1.5116279069767398,1.9302325581395303,2.488372093023251,,,,,,,
65,2021-11-05T21:22:51,LINA,USDT,long,"[0.06, 0.056, 0.053]",0.056333333333333326,0.045,"[0.0615, 0.0625, 0.065, 0.066, 0.07, 0.071, 0.08, 0.086, 0.1, 0.12]","Coin Name: #LINA/USDT

LONG SET-UP

#LINA Forming a Head and shoulder pattern in daily time frame and already broke the neck line of the pattern and looking very bullish🔥. So buy a bag of #LINA and hold it for good profit.

Entry: 0.060 - 0.056 - 0.053$(Enter partially. If it comes down then buy some at dip)

Target: 0.0615 - 0.0625 - 0.065 - 0.066 - 0.070 - 0.071 - 0.080 - 0.086 - 0.10 - 0.12$ (Short-Long term)

Stoploss: 0.045$",0.12426035502958581,0.20118343195266264,10,0.45588235294117735,0.5441176470588245,0.7647058823529425,0.8529411764705896,1.2058823529411784,1.2941176470588243,2.088235294117649,2.6176470588235308,3.8529411764705914,5.617647058823533,,,,
67,2021-11-06T18:36:43,CHZ,USDT,long,"[0.477, 0.465]",0.471,0.44,"[0.485, 0.495, 0.505, 0.525, 0.56, 0.6]","Coin Name: #CHZ/USDT

LONG SET-UP

#CHZ Forming a Symmetrical Traingle on 2hr time frame and already broke that and looking bullish. So buy a bag of #CHZ in our buy zone and hold it for good profit.

Entry: 0.477 - 0.465$(Buy partially)

Target: 0.485 - 0.495 - 0.505 - 0.525 - 0.560 - 0.600$(Short term)

Stoploss: 0.440$",0.025477707006369334,0.0658174097664543,6,0.45161290322580727,0.7741935483870982,1.096774193548389,1.7419354838709709,2.870967741935489,4.1612903225806495,,,,,,,,
73,2021-11-08T19:15:00,CAKE,USDT,long,"[20.02, 19.0]",19.509999999999998,17.5,"[20.4, 20.8, 21.2, 21.8, 22.6, 24.0, 25.5]","Coin Name: #CAKE/USDT

LONG SET-UP

#SPOT CALL

#CAKE Forming a Falling wedge pattern and already broke that. Now it looking bullish so buy a bag #CAKE in our buy zone and hold it for good profit.

Entry: 20.02 - 19.00$(Buy partially)

Target: 20.40 - 20.80 - 21.20 - 21.80 - 22.60 - 24.00 - 25.50$(Short-Mid term)

Stoploss: 17.50$",0.052280881599179894,0.10302409021014855,7,0.442786069651742,0.6417910447761214,0.840796019900499,1.1393034825870672,1.5373134328358242,2.2338308457711475,2.9800995024875663,,,,,,,
74,2021-11-09T10:01:32,XRP,USDT,long,"[1.26, 1.15]",1.205,1.0,"[1.29, 1.32, 1.36, 1.42, 1.52, 1.6, 1.64, 1.8, 2.0]","Coin Name: #XRP/USDT

LONG SET-UP


#XRP Forming a Cup and Handle pattern on daily time frame and already broke the neck line of the pattern and looking bullish. So buy a bag of #XRP in our given buy zone and hold it for good profit. Always buy partially in our buy zone bcz if it comes down then accumulate some at dip.

Entry: 1.26 - 1.15$

Target: 1.29 - 1.32 - 1.36 - 1.42 - 1.52 - 1.60 - 1.64 - 1.80 - 2.00$(Short-Mid term)

Stoploss: 1.00$",0.09128630705394199,0.1701244813278009,9,0.4146341463414631,0.5609756097560973,0.7560975609756097,1.048780487804877,1.5365853658536577,1.9268292682926824,2.1219512195121935,2.902439024390243,3.878048780487803,,,,,
75,2021-11-09T18:06:21,FIL,USDT,long,"[67.0, 60.0]",63.5,54.0,"[69.0, 71.0, 74.0, 78.0, 82.0, 88.0, 100.0, 115.0]","COIN NAME: #FIL/USDT

LONG SET-UP

#FIL Broke a Trend line on daily time frame and looking very bullish. Another reason is it moving inside a Symmetrical Traingle on daily time frame and if it breaks the Traingle upper side then it can see more upside. So buy a bag of #FIL in our buy zone and hold it for good profit.


Entry: 67.0 - 60.0$(Buy partially)

Target: 69 - 71 - 74 - 78 - 82 - 88 - 100 - 115$(Mid - long term)

Stoploss: 54$",0.11023622047244094,0.14960629921259844,8,0.5789473684210527,0.7894736842105263,1.105263157894737,1.5263157894736843,1.9473684210526316,2.5789473684210527,3.8421052631578947,5.421052631578948,,,,,,
77,2021-11-09T20:30:27,ETH,USDT,short,"[4730.0, 4850.0]",4790.0,5000.0,"[4680.0, 4630.0, 4560.0, 4440.0, 4240.0, 4100.0, 4000.0]","COIN NAME: #ETH/USDT

SHORT SET-UP

#ETH forming a Rising Wedge pattern in 4hr time frame and exactly rejected from the upper side of Pattern and looking bearish. So short some #ETH and hold it for good profit.

Entry: 4730 - 4850$

Target: 4680 - 4630 - 4560 - 4440 - 4240 - 4100 - 4000$+(Short term)

Stoploss: 5000$",0.025052192066805846,0.04384133611691023,7,0.5238095238095238,0.7619047619047619,1.0952380952380953,1.6666666666666667,2.619047619047619,3.2857142857142856,3.761904761904762,,,,,,,
83,2021-11-12T06:42:47,MANA,USDT,long,"[2.98, 2.75]",2.865,2.45,"[3.0, 3.06, 3.12, 3.18, 3.3, 3.4, 3.5, 3.65, 4.0, 4.3, 4.6, 5.0]","COIN NAME: #MANA/USDT

LONG SET-UP

#MANA Forming a Bull flag on 4hr time frame and already broke that and looking very bullish in coming days. So buy a bag of #MANA in our given buy range and hold it for good profit.

Entry: 2.98 - 2.75$(Buy partially)

Target: 3.00 - 3.06 - 3.12 - 3.18 - 3.30 - 3.40 - 3.50 - 3.65(Short-mid term)

Long term: 4.00 - 4.30 - 4.60 - 5.00$+

Stoploss: 2.45$",0.08027923211169283,0.14485165794066318,12,0.32530120481927655,0.4698795180722887,0.6144578313253009,0.759036144578313,1.0481927710843364,1.2891566265060233,1.53012048192771,1.89156626506024,2.734939759036144,3.4578313253012034,4.180722891566264,5.144578313253011,,
87,2021-11-13T19:02:36,DASH,USDT,long,"[227.0, 224.0]",225.5,216.0,"[231.0, 235.0, 240.0, 245.0, 256.0, 264.0, 272.0, 280.0]","COIN NAME: #DASH/USDT

LONG SET-UP

#DASH Forming a Symmetrical Traingle in 1hr time frame and already broke that and looking bullish. So buy a bag of #DASH in our buy zone and hold it for good profit.

Entry: 227 - 224$(Buy partially)

Target: 231 - 235 - 240 - 245 - 256 - 264 - 272 - 280$(Shot term)

Stoploss: 216$(If daily candle closes below there)",0.013303769401330377,0.04212860310421286,8,0.5789473684210527,1.0,1.5263157894736843,2.0526315789473686,3.210526315789474,4.052631578947368,4.894736842105263,5.7368421052631575,,,,,,
91,2021-11-15T18:01:51,SHIB,USDT,long,"[0.556, 0.05]",0.30300000000000005,0.045,"[0.057, 0.058, 0.06, 0.062, 0.066, 0.07, 0.074, 0.08]","COIN NAME: #SHIB/USDT

LONG SET-UP

#SHIB Forming a falling wedge pattern in 4hr time frame and already broke that and looking bullish. So buy a bag of #SHIB in our buy zone and hold it for good profit.


Entry: 0.556 - 0.050$(Buy partially)

Target: 0.057 - 0.058 - 0.060 - 0.062 - 0.066 - 0.070 - 0.074 - 0.080$(Short - mid term)

Stop loss: 0.045$",1.6699669966996697,0.8514851485148516,8,0.9534883720930232,0.9496124031007752,0.9418604651162791,0.9341085271317829,0.9186046511627907,0.9031007751937984,0.8875968992248061,0.8643410852713177,,,,,,
95,2021-11-17T15:22:36,IOTA,USDT,long,"[1.44, 1.4]",1.42,1.2,"[1.47, 1.49, 1.52, 1.56, 1.65, 1.75, 1.85, 1.95, 2.1, 2.3]","COIN NAME: #IOTA/USDT

LONG SET-UP

#IOTA Forming a Symmetrical triangle in daily time frame and already broke that and looking bullish. So buy a bag of #IOTA in our given buy zone and hold it for good profit.

Note: Use low amounts of your capital 


Entry: 1.44 - 1.40$(Buy partially)

Target: 1.47 - 1.49 - 1.52 - 1.56 - 1.65 - 1.75 - 1.85 $

Long term: 1.95 - 2.10 - 2.30$

Stop loss: 1.20$",0.028169014084507067,0.15492957746478872,10,0.22727272727272751,0.3181818181818185,0.45454545454545503,0.636363636363637,1.0454545454545454,1.5000000000000004,1.9545454545454555,2.4090909090909096,3.090909090909092,4.0,,,,
98,2021-11-18T20:19:39,ALICE,USDT,long,"[16.9, 15.0, 14.0]",15.299999999999999,12.0,"[17.2, 17.4, 17.6, 18.5, 19.2, 19.8, 20.4, 22.0, 23.5, 25.0, 25.5]","COIN NAME: #ALICE/USDT

LONG SET-UP

#ALICE Forming a Falling Wedge pattern in daily time frame and already broke that and now looking bullish. So buy a bag of #ALICE in our given buy range and hold it for good profit.

Entry: 16.9 - 15.0 - 14.0$(Buy partially)

Target: 17.2 - 17.4 - 17.6 - 18.5 - 19.2 - 19.8 - 20.4$(Short - mid term)

Long term: 22.0 - 23.5 - 25.0 - 25.5$

Stop loss: 12.0$",0.18954248366013063,0.21568627450980388,11,0.575757575757576,0.6363636363636365,0.6969696969696979,0.9696969696969703,1.1818181818181823,1.3636363636363646,1.5454545454545459,2.030303030303031,2.484848484848486,2.939393939393941,3.090909090909092,,,
102,2021-11-19T18:23:08,EOS,USDT,long,"[4.29, 3.9]",4.095,3.6,"[4.4, 4.5, 4.6, 4.7, 4.9, 5.2, 5.5, 5.8, 6.0, 6.4]","COIN NAME: #EOS/USDT

LONG SET-UP

#EOS Forming a symmetrical traingle in daily time frame and now it exactly bounced back after retested the down side of the traingle. Now it’s looking bullish and after breaks the traingle upperside it more bullish. So buy a bag of #EOS in our buy zone and hold it for good profit.

Entry: 4.29 - 3.9$(Buy partially)

Target: 4.4 - 4.5 - 4.6 - 4.7 - 4.9 - 5.2 - 5.5 - 5.8 - 6.0 - 6.4$(Short - mid term)

Stop loss: 3.6$(If daily candle closes below there)",0.09523809523809527,0.12087912087912081,10,0.6161616161616178,0.8181818181818192,1.0202020202020208,1.2222222222222239,1.6262626262626285,2.2323232323232345,2.838383838383841,3.444444444444447,3.8484848484848517,4.656565656565661,,,,
105,2021-11-20T13:38:51,ONE,USDT,long,"[0.286, 0.275]",0.28049999999999997,0.25,"[0.29, 0.293, 0.298, 0.304, 0.315, 0.33, 0.35, 0.365]","COIN NAME: #ONE/USDT

LONG SET-UP

#ONE Forming a Falling wedge pattern in 1hr time frame and already broke that and looking bullish. So buy a bag of #ONE in our buy zone and hold it for good profit.


Entry: 0.286 - 0.275$(Buy partially)

Target: 0.29 - 0.293 - 0.298 - 0.304 - 0.315 - 0.33 - 0.35 - 0.365$(short - mid term)

Stop loss: 0.25$",0.039215686274509644,0.10873440285204983,8,0.31147540983606614,0.4098360655737712,0.5737704918032798,0.7704918032786899,1.1311475409836087,1.622950819672134,2.2786885245901662,2.770491803278692,,,,,,
113,2021-11-22T18:20:17,ATOM,USDT,long,"[32.9, 32.0]",32.45,30.0,"[33.3, 33.8, 34.5, 35.5, 37.0, 38.5, 40.0, 43.0]","COIN NAME: #ATOM/USDT

LONG SET-UP

#ATOM Forming a downtrend channel and already broke that and looking bullish from here. So buy a bag of #ATOM in our buy zone and hold it for good profit.

Entry: 32.9 - 32.0$

Target: 33.3 - 33.8 - 34.5 - 35.5 - 37.0 - 38.5 - 40.0 - 43.0$(Short-mid term)

Stoploss: 30.0$",0.027734976887519216,0.07550077041602474,8,0.34693877551020136,0.5510204081632624,0.8367346938775488,1.2448979591836709,1.8571428571428539,2.4693877551020367,3.0816326530612197,4.306122448979585,,,,,,
125,2021-11-24T17:15:21,BCH,USDT,long,"[593.0, 585.0, 550.0]",576.0,501.0,"[610.0, 617.0, 624.0, 632.0, 641.0, 670.0, 700.0, 730.0]","COIN NAME: #BCH/USDT

LONG SET-UP

#BCH just broke the trend line in 2hr time frame and looking bullish. So buy a bag of #BCH in our given buy zone and hold it for good profit.


Entry: 593 - 585 - 550$(Buy partially)

Target: 610 - 617 - 624 - 632 - 641 - 670 - 700 - 730$+(Short-mid term)

Stoploss: 501$",0.07465277777777778,0.13020833333333334,8,0.4533333333333333,0.5466666666666666,0.64,0.7466666666666667,0.8666666666666667,1.2533333333333334,1.6533333333333333,2.0533333333333332,,,,,,
