TP,Trades_hitting_TP,Overall_Probability,Eligible_Trades,Eligible_Probability,Conditional_Base,Conditional_Probability
1,835,0.7862523540489642,1062,0.7862523540489642,1062,0.7862523540489642
2,688,0.647834274952919,1062,0.647834274952919,835,0.8239520958083832
3,572,0.5386064030131826,1061,0.5391140433553252,688,0.8313953488372093
4,482,0.4538606403013183,1061,0.45428840716305374,572,0.8426573426573427
5,358,0.3370998116760829,1040,0.34423076923076923,482,0.7427385892116183
6,275,0.2589453860640301,980,0.28061224489795916,358,0.7681564245810056
7,172,0.16195856873822975,749,0.22963951935914553,275,0.6254545454545455
8,99,0.09322033898305085,491,0.20162932790224034,172,0.5755813953488372
9,37,0.03483992467043315,225,0.16444444444444445,99,0.37373737373737376
10,15,0.014124293785310734,118,0.1271186440677966,37,0.40540540540540543
11,5,0.004708097928436911,46,0.10869565217391304,15,0.3333333333333333
12,3,0.002824858757062147,28,0.10714285714285714,5,0.6
13,0,0.0,9,0.0,3,0.0
14,0,0.0,8,0.0,0,0.0
