message_id,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,had_unresolved_profit_signal,linked_update_ids
15,1,True,False,True,False,False,"[16, 22, 28, 31, 34]"
56,8,True,True,False,False,False,"[57, 72, 155, 156, 157, 158, 159, 168]"
58,6,True,False,True,False,False,"[60, 166, 167, 169, 172, 179]"
59,1,True,False,True,False,False,[61]
62,0,False,False,False,True,False,[]
63,2,True,False,True,False,False,"[64, 74, 80]"
65,8,True,False,True,False,False,"[66, 71]"
67,4,True,False,True,False,False,"[68, 69, 70]"
73,0,False,False,False,True,False,[]
74,2,True,False,True,False,False,[80]
75,4,True,False,True,False,False,"[76, 96, 114, 127]"
77,7,True,True,False,False,False,"[79, 81, 82, 92, 97]"
83,12,True,True,False,False,False,"[84, 85, 86, 103, 126, 137]"
87,2,True,False,True,False,True,"[88, 89, 90]"
91,0,False,False,False,True,False,[]
95,1,True,False,True,False,False,[96]
98,11,True,True,False,False,False,"[99, 100, 101, 104, 108, 110, 111, 123, 124]"
102,0,False,False,False,True,False,[]
105,8,True,True,False,False,True,"[106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 122, 123, 124, 125, 126, 127, 128, 130, 131, 132, 134, 135, 136, 137, 138, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 177, 178, 179, 180, 182, 183, 184, 185, 189, 191, 192, 193, 194, 195, 196, 197, 201, 202, 204, 207, 209, 211, 212, 214, 216, 217, 218, 219, 220, 221, 224, 225]"
113,8,True,True,False,False,True,"[114, 115, 160, 161, 165, 170, 171, 183, 191, 192, 193, 194, 195, 197]"
125,4,True,False,True,False,False,[127]
128,0,False,False,False,True,False,[131]
129,3,True,False,True,False,False,[130]
132,4,True,False,True,False,False,"[134, 138]"
135,1,True,False,True,False,False,[136]
137,0,False,False,False,True,False,[]
143,1,True,False,True,False,False,[144]
145,6,True,True,False,False,False,"[147, 148, 150, 151, 153, 184, 265]"
146,3,True,False,True,False,True,"[149, 152, 154, 178, 189]"
155,6,True,False,True,False,False,"[156, 157, 158, 159, 168, 209]"
160,8,True,True,False,False,True,"[161, 165, 170, 171, 183, 191, 192, 193, 194, 195, 197]"
166,8,True,True,False,False,False,"[167, 169, 172, 179, 185]"
173,5,True,False,True,False,False,"[174, 177, 180, 182]"
191,8,True,True,False,False,True,"[192, 193, 194, 195, 197]"
196,0,False,False,False,True,False,[]
209,0,False,False,False,True,False,[]
215,3,True,False,True,False,False,"[216, 217, 218]"
246,2,True,False,True,False,False,"[247, 248, 249, 250, 251, 256]"
254,4,True,False,True,False,False,"[255, 257, 259, 269]"
260,4,True,False,True,False,False,"[267, 268, 338, 339, 343, 345]"
271,8,True,True,False,False,False,"[272, 273, 274, 275, 276, 277, 288, 297]"
277,7,True,False,True,False,False,"[278, 279, 280, 282, 295]"
291,2,True,False,True,False,False,"[292, 293, 294]"
298,9,True,False,True,False,False,"[302, 303, 309, 319, 321, 322, 324, 328]"
299,10,True,True,False,False,False,"[301, 307, 309, 325]"
300,6,True,False,True,False,False,"[317, 358, 360, 385, 396]"
304,8,True,True,False,False,False,"[305, 306, 308, 309, 326, 329]"
310,5,True,False,True,False,False,"[311, 312, 315, 355, 356]"
313,5,True,False,True,False,False,"[314, 316]"
320,5,True,False,True,False,False,"[330, 335, 402]"
327,4,True,False,True,False,False,"[336, 342, 433]"
331,6,True,False,True,False,False,"[332, 333, 337, 350]"
338,4,True,False,True,False,False,"[339, 343, 345, 419, 421, 455]"
340,7,True,False,True,False,False,"[341, 344, 432, 445, 461]"
346,4,True,False,True,False,False,"[347, 412, 431, 460]"
348,8,True,False,True,False,False,"[349, 407, 417, 459]"
351,8,True,False,True,False,False,"[352, 353, 357, 359, 408, 416, 444, 458]"
354,7,True,False,True,False,False,"[365, 373, 409, 430]"
355,1,True,False,True,False,False,[356]
358,6,True,False,True,False,False,"[360, 385, 396]"
361,8,True,False,True,False,False,"[364, 369, 372, 376, 382, 391, 401, 418]"
366,9,True,True,False,False,False,"[368, 375, 381, 390, 394, 429, 443, 450]"
370,8,True,False,True,False,True,"[371, 374, 380, 395, 428]"
377,9,True,True,False,False,True,"[378, 379, 383, 384, 392]"
386,5,True,False,True,False,False,"[388, 442]"
387,6,True,False,True,False,False,"[389, 393, 398, 400, 406, 427]"
397,5,True,False,True,False,False,"[426, 441, 457]"
399,6,True,False,True,False,False,"[410, 415, 424, 440, 456]"
403,5,True,False,True,False,False,"[404, 405, 425]"
411,5,True,False,True,False,False,"[422, 468]"
413,1,True,False,True,False,True,"[414, 420]"
419,7,True,False,True,False,False,"[421, 455, 463, 467]"
435,5,True,False,True,False,False,"[436, 439, 454]"
437,6,True,False,True,False,False,"[438, 453, 466]"
446,5,True,False,True,False,False,"[447, 448, 465, 475]"
449,3,True,False,True,False,True,"[451, 452, 476, 494, 498, 502]"
470,6,True,False,True,False,False,"[471, 472, 473]"
481,7,True,False,True,False,False,"[482, 489, 497, 511]"
494,3,True,False,True,False,False,"[498, 502]"
499,4,True,False,True,False,False,"[500, 508]"
503,10,True,True,False,False,False,"[506, 507]"
504,1,True,False,True,False,False,[505]
514,7,True,True,False,False,False,"[515, 516, 519, 520, 547, 561]"
522,6,True,True,False,False,False,"[524, 525, 530, 531, 532, 563]"
526,10,True,True,False,False,False,"[533, 534, 541, 543, 565, 574]"
540,12,True,True,False,False,True,"[542, 571, 575, 578, 623, 624, 635, 636, 641]"
545,4,True,False,True,False,False,"[546, 548, 549]"
552,3,True,False,True,False,True,"[553, 554, 559, 619, 620]"
558,0,False,False,False,True,False,[572]
563,0,False,False,False,True,False,[]
568,3,True,False,True,False,False,"[569, 570, 603]"
587,2,True,False,True,False,False,"[588, 590]"
588,0,False,False,False,True,False,[]
646,2,True,False,True,False,False,"[647, 648]"
652,0,False,False,False,True,False,[]
655,4,True,False,True,False,False,"[656, 657, 659]"
658,2,True,False,True,False,False,[660]
666,5,True,False,True,False,False,"[667, 670, 673, 682, 689, 692]"
668,7,True,False,True,False,False,"[669, 671, 672, 674, 677, 681, 780]"
675,7,True,True,False,False,False,"[676, 678, 683, 694, 771, 779]"
680,3,True,False,True,False,False,"[684, 685, 686]"
687,7,True,False,True,False,False,"[688, 690, 691, 695, 698]"
693,3,True,False,True,False,False,"[696, 697]"
700,4,True,False,True,False,False,"[701, 702, 704, 708]"
705,1,True,False,True,False,False,"[706, 707]"
721,9,True,True,False,False,True,"[722, 723, 724, 725, 726, 727, 728, 729, 730, 731, 732, 734, 735, 736, 737, 738, 739, 741, 742, 743, 744, 745, 746, 747, 748, 749, 750, 751, 752, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764, 765, 766, 767, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 794, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 814, 816, 817, 818, 819, 820, 821, 823, 824, 825, 826, 827, 828, 830, 832, 833, 834, 835, 836, 837, 838, 840, 841, 842, 843]"
