message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,linked_update_ids,cmc_id,market_cap_usd,volume_24h_usd,price_usd,volume_market_cap_ratio,historical_data_available_under_plan
5,2021-09-05T13:11:38,MATIC,USDT,long,"[1.7, 1.57]",1.635,1.3,"[1.7706, 1.8793, 1.9586, 2.21, 2.45]","#MATIC/USDT(FUTURE CALL)

BUY : 1.70 - 1.57$(Buy partially in our buy zone)

Target : 1.7706 - 1.8793 - 1.9586 - 2.21 - 2.45$

Stop loss : 1.30$",0.0795107033639143,0.2048929663608562,5,0.4047761194029849,0.7292537313432835,0.9659701492537311,1.7164179104477613,2.432835820895523,,,,,,,,,,1,True,False,True,False,"[6, 29, 32]",,,,,,False
15,2021-09-12T19:32:15,OCEAN,USDT,long,"[0.84, 0.77]",0.8049999999999999,0.7,"[0.88, 0.93, 0.99, 1.17, 1.51]","OCEAN/USDT(Long entry)

Entry: 0.84 - 0.77$

Target: 0.88 - 0.93 - 0.99 - 1.17 - 1.51$(Mid - Long term)

Stop loss: 0.70$",0.0869565217391303,0.1304347826086956,5,0.7142857142857151,1.1904761904761918,1.7619047619047628,3.4761904761904767,6.714285714285716,,,,,,,,,,1,True,False,True,False,"[16, 22, 28, 31, 34]",,,,,,False
23,2021-09-15T06:54:27,FTM,USDT,long,"[1.32, 1.31]",1.315,1.15,"[1.37, 1.445, 1.545, 1.631]","#FTM/USDT

ENTRY: 1.32 - 1.31$

Target : 1.37 - 1.445 - 1.545 - 1.631+$

Stop loss : 1.15$",0.0076045627376425,0.1254752851711027,4,0.3333333333333342,0.7878787878787884,1.3939393939393936,1.915151515151515,,,,,,,,,,,2,True,False,True,False,"[24, 25, 26]",,,,,,False
29,2021-09-15T19:26:10,MATIC,USDT,long,"[1.39, 1.37]",1.38,1.28,"[1.43, 1.5, 1.58, 1.7]","MATIC/USDT(LONG)

Entry : 1.39 - 1.37$

Target: 1.43 - 1.50 - 1.58 - 1.70$+

Stop loss: 1.28$",0.0144927536231882,0.0724637681159419,4,0.5000000000000011,1.2000000000000026,2.0000000000000044,3.200000000000005,,,,,,,,,,,1,True,False,True,False,[32],,,,,,False
56,2021-10-24T21:25:14,AVAX,USDT,long,"[63.2, 58.0]",60.6,53.0,"[64.0, 65.0, 66.4, 68.0, 71.0, 75.0, 79.0, 82.0]","#AVAX/USDT

LONG SET-UP

#AVAX is already broke the Falling wedge pattern and now looking bullish from here or it may Retest the upper side of pattern and a bounce back may seen from there. So buy it in our buy zone and hold it for good profit.

Entry: 63.2 - 58.0$(Enter partially)

Target: 64.0 - 65.0 - 66.4 - 68.0 - 71.0 - 75.0 - 79.0 - 82.0$(mid - long term)

Stoploss: 53$",0.0858085808580858,0.1254125412541254,8,0.4473684210526313,0.5789473684210523,0.7631578947368425,0.9736842105263154,1.3684210526315783,1.8947368421052624,2.421052631578947,2.8157894736842097,,,,,,,8,True,True,False,False,"[57, 72]",,,,,,False
58,2021-10-25T21:52:16,VET,USDT,long,"[0.14, 0.13]",0.135,0.12,"[0.143, 0.146, 0.149, 0.156, 0.165, 0.18, 0.2, 0.22, 0.233, 0.254]","Coin Name: VET/USDT

LONG SET-UP

#VET Already broke the trend line and ready to fly. So buy a bag of #VET in our buy zone and hold it for good profit.

Entry: 0.140 - 0.130$ ( Buy partially)

Target: 0.143 - 0.146 - 0.149 - 0.156 - 0.165 - 0.18 - 0.2 - 0.22 - 0.233 - 0.254$( Mid - Long term)

Stoploss: 0.120$",0.0740740740740741,0.1111111111111112,10,0.5333333333333314,0.7333333333333315,0.9333333333333316,1.399999999999998,1.9999999999999984,2.9999999999999964,4.3333333333333295,5.666666666666661,6.533333333333328,7.933333333333326,,,,,2,True,False,True,False,[60],,,,,,False
59,2021-10-25T22:17:36,KSM,USDT,long,"[397.0, 372.0]",384.5,355.0,"[406.0, 414.0, 422.0, 430.0, 452.0, 470.0, 490.0, 540.0, 580.0, 600.0]","Coin Name: #KSM/USDT

LONG SET-UP

#KSM is forming a Cup and handle pattern in daily time frame and already broke the neck line of the pattern. So it looks bullish in coming days. Buy a bag of #KSM in our buy zone and hold it for good profit. 

Entry: 397 - 372$ (Buy partially)

Target: 406 - 414 - 422 - 430 - 452 - 470 - 490 - 540 - 580 - 600$+ (Mid - long term)

Stoploss: 355$",0.0650195058517555,0.0767230169050715,10,0.7288135593220338,1.0,1.271186440677966,1.5423728813559323,2.288135593220339,2.8983050847457625,3.5762711864406778,5.271186440677966,6.627118644067797,7.305084745762712,,,,,1,True,False,True,False,[61],,,,,,False
62,2021-10-26T18:26:45,HBAR,USDT,short,"[0.413, 0.4]",0.4065,0.37,"[0.42, 0.424, 0.434, 0.44, 0.45, 0.46, 0.475, 0.49]","COIN NAME: #HBAR/USDT

LONG SET-UP

#HBAR already broke the symmetrical Traingle and looking bullish from here. So buy a bag of #HBAR in our buy zone and hold it for good profit.

Entry: 0.413 - 0.400$

Target: 0.420 - 0.424 - 0.434 - 0.440 - 0.450 - 0.460 - 0.475 - 0.490$(Short-mid term)

Stoploss: 0.370$",0.0319803198031979,0.089790897908979,8,0.3698630136986307,0.4794520547945213,0.7534246575342477,0.9178082191780836,1.19178082191781,1.4657534246575366,1.8767123287671248,2.2876712328767144,,,,,,,0,False,False,False,True,[],,,,,,False
63,2021-10-26T22:24:01,XRP,USDT,short,"[1.125, 1.1, 1.08]",1.1016666666666668,1.03,"[1.135, 1.15, 1.165, 1.18, 1.21, 1.24, 1.28]","Coin Name: #XRP/USDT

LONG SET-UP

#XRP Just breaking the Falling wedge pattern on 4hr time frame. It looking bullish and MACD also looking good. So buy it and hold it for good profit.

Entry: 1.125 - 1.100 - 1.080$(Enter partially)

Target: 1.135 - 1.150 - 1.165 - 1.180 - 1.210 - 1.240 - 1.280$(Short term)

Stoploss: 1.030$",0.0408472012102873,0.065052950075643,7,0.4651162790697651,0.6744186046511589,0.8837209302325556,1.0930232558139492,1.5116279069767398,1.9302325581395303,2.488372093023251,,,,,,,,2,True,False,True,False,"[64, 74, 80]",,,,,,False
65,2021-11-05T21:22:51,LINA,USDT,short,"[0.06, 0.056, 0.053]",0.0563333333333333,0.045,"[0.0615, 0.0625, 0.065, 0.066, 0.07, 0.071, 0.08, 0.086, 0.1, 0.12]","Coin Name: #LINA/USDT

LONG SET-UP

#LINA Forming a Head and shoulder pattern in daily time frame and already broke the neck line of the pattern and looking very bullish🔥. So buy a bag of #LINA and hold it for good profit.

Entry: 0.060 - 0.056 - 0.053$(Enter partially. If it comes down then buy some at dip)

Target: 0.0615 - 0.0625 - 0.065 - 0.066 - 0.070 - 0.071 - 0.080 - 0.086 - 0.10 - 0.12$ (Short-Long term)

Stoploss: 0.045$",0.1242603550295858,0.2011834319526626,10,0.4558823529411773,0.5441176470588245,0.7647058823529425,0.8529411764705896,1.2058823529411784,1.2941176470588245,2.088235294117649,2.6176470588235308,3.852941176470592,5.617647058823533,,,,,8,True,False,True,False,"[66, 71]",,,,,,False
67,2021-11-06T18:36:43,CHZ,USDT,short,"[0.477, 0.465]",0.471,0.44,"[0.485, 0.495, 0.505, 0.525, 0.56, 0.6]","Coin Name: #CHZ/USDT

LONG SET-UP

#CHZ Forming a Symmetrical Traingle on 2hr time frame and already broke that and looking bullish. So buy a bag of #CHZ in our buy zone and hold it for good profit.

Entry: 0.477 - 0.465$(Buy partially)

Target: 0.485 - 0.495 - 0.505 - 0.525 - 0.560 - 0.600$(Short term)

Stoploss: 0.440$",0.0254777070063693,0.0658174097664543,6,0.4516129032258072,0.7741935483870982,1.096774193548389,1.7419354838709709,2.870967741935489,4.1612903225806495,,,,,,,,,4,True,False,True,False,"[68, 69, 70]",,,,,,False
